seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
2026000213,mixed/interactive/io_intensive,52.5,52.5,0.0,0.19619135375873453,0.19619135375873453,0.0,0.13609121000000002,1,113,0,113,0.46490184965829934,0.3793807261257067,0.09106675392670156,0.19619135375873453,0.37865239098239506,0.7722513089005236
2026000214,io_intensive/interactive/mixed,55.25,55.25,0.0,0.15126605064202567,0.15126605064202567,0.0,0.13680499999999998,1,84,0,84,0.49118004036663393,0.32954899663624004,0.09758820902188478,0.15126605064202567,0.35279235222861033,0.7916480571683788
2026000215,batch/interactive/io_intensive,56.349999999999994,56.349999999999994,0.0,0.1865857622711019,0.1865857622711019,0.0,0.13612104,1,81,0,81,0.49053220543974685,0.2961930693113451,0.1209115847225153,0.1865857622711019,0.3374871991017138,0.7837623971301962
2026000216,batch/io_intensive/cpu_intensive,49.099999999999994,49.099999999999994,0.0,0.2126849894291755,0.2126849894291755,0.0,0.13486893,1,123,0,123,0.4847231978627178,0.374411046717286,0.1808575914022923,0.2126849894291755,0.3605351446472506,0.7714818417639429
2026000217,batch/mixed/interactive,57.699999999999996,57.699999999999996,0.0,0.21715552202206923,0.21715552202206923,0.0,0.13885292,1,101,0,101,0.4651338686367084,0.3670795486213341,0.13186382177596484,0.21715552202206923,0.37362029373334427,0.7749843112645121
2026000218,io_intensive/cpu_intensive/batch,48.099999999999994,48.099999999999994,0.0,0.1948016415868673,0.1948016415868673,0.0,0.19327273999999997,0,115,0,115,0.5048135171572289,0.3092305378000894,0.1991730161679985,0.1948016415868673,0.34531178988197475,0.771139193458465
2026000219,io_intensive/batch/mixed,57.349999999999994,57.349999999999994,0.0,0.20512219879753263,0.20512219879753263,0.0,0.14410889999999993,1,115,0,115,0.4743321827766245,0.34579614696575134,0.1918416801292407,0.20512219879753263,0.3669791989723699,0.7739499192245558
2026000220,batch/io_intensive/mixed,54.699999999999996,54.699999999999996,0.0,0.21715182023783466,0.21715182023783466,0.0,0.13715224,1,122,0,122,0.46075154384937295,0.3678414586388865,0.15614380525403276,0.21715182023783466,0.3832597732174924,0.7704022988505748
2026000221,batch/mixed/interactive,56.0,56.0,0.0,0.21866559967990398,0.21866559967990398,0.0,0.138925,1,90,0,90,0.4673650058328486,0.4324713780232798,0.12454925033213134,0.21866559967990398,0.3609602083872658,0.7821692920857848
2026000222,io_intensive/batch/interactive,52.699999999999996,52.699999999999996,0.0,0.1765707211389663,0.1765707211389663,0.0,0.14619687999999997,1,89,0,89,0.4835801312067981,0.29206453301160823,0.18759861144617557,0.1765707211389663,0.3134201953538981,0.788523976023976
2026000223,batch/cpu_intensive/mixed,51.099999999999994,51.099999999999994,0.0,0.22456677621750826,0.22456677621750826,0.0,0.13779000000000002,1,148,0,148,0.523097851314751,0.40512602296344047,0.1592247373249585,0.22456677621750826,0.3889526852699982,0.7657591366200638
2026000224,io_intensive/interactive/batch,49.699999999999996,49.699999999999996,0.0,0.16478386167146974,0.16443804034582135,-0.0003458213256483933,0.13371182,1,82,0,81,0.4678782120541067,0.260749747044305,0.16708955223880595,0.16478386167146974,0.3024495677233429,0.7938059701492537
2026000225,mixed/cpu_intensive/interactive,51.349999999999994,51.349999999999994,0.0,0.216896865437102,0.216896865437102,0.0,0.13285444,1,132,0,132,0.48181905494302874,0.4649186872591116,0.13087520259319288,0.216896865437102,0.4244390881919817,0.7677035282383743
2026000226,io_intensive/mixed/cpu_intensive,48.45,48.45,0.0,0.1780821917808219,0.1780821917808219,0.0,0.133,1,100,0,100,0.49586036671112804,0.3145372894187626,0.14940027084542465,0.1780821917808219,0.3911690408882627,0.7771812729734958
2026000227,mixed/cpu_intensive/batch,50.099999999999994,50.099999999999994,0.0,0.21662578143546724,0.21662578143546724,0.0,0.13401770999999998,1,131,0,131,0.47581822892971704,0.31101673805373803,0.20480063336692098,0.21662578143546724,0.34311575404499406,0.7675255505973801
2026000228,cpu_intensive/mixed/interactive,50.45,50.45,0.0,0.22371317003904864,0.22371317003904864,0.0,0.1684575,1,131,0,131,0.46579746563056973,0.4437497260829464,0.1477839243608102,0.22371317003904864,0.3835589689805411,0.768041237113402
2026000229,interactive/mixed/batch,50.699999999999996,50.699999999999996,0.0,0.1844413909734701,0.1844413909734701,0.0,0.1464700000000003,0,89,0,89,0.5119261417068539,0.2542095663254503,0.1581416464891041,0.1844413909734701,0.42026330958255675,0.7823849878934624
2026000230,batch/io_intensive/mixed,57.349999999999994,57.349999999999994,0.0,0.2056775797762122,0.2056775797762122,0.0,0.13709294,1,107,0,107,0.4582473951788473,0.3258357585900551,0.1504282032300187,0.2056775797762122,0.3598467583338665,0.7735891647855531
2026000231,interactive/batch/io_intensive,51.699999999999996,51.699999999999996,0.0,0.19797204174050012,0.19797204174050012,0.0,0.13791075,0,96,0,96,0.4876097820596172,0.3941102694144235,0.14565031069209344,0.19797204174050012,0.40104505848476607,0.7830512106278122
2026000232,batch/io_intensive/interactive,48.699999999999996,48.699999999999996,0.0,0.1983065472980261,0.1983065472980261,0.0,0.13774160000000002,1,80,0,80,0.46437515798308227,0.29467944398230717,0.13590990529818275,0.1983065472980261,0.285587665541453,0.7917199897619658
2026000233,mixed/io_intensive/interactive,53.25,53.25,0.0,0.17772822665267574,0.17772822665267574,0.0,0.13755631999999998,0,97,0,97,0.4937120968874741,0.2829474623545977,0.11952991452991454,0.17772822665267574,0.3096799580272822,0.7782478632478633
2026000234,interactive/mixed/batch,53.699999999999996,53.699999999999996,0.0,0.1938031030661249,0.1938031030661249,0.0,0.1465267999999999,1,115,0,115,0.4696528263820141,0.3500954252330657,0.13415545813872073,0.1938031030661249,0.42071152732555595,0.7728814782734228
2026000235,io_intensive/cpu_intensive/mixed,44.9,44.9,0.0,0.19374643061107938,0.19374643061107938,0.0,0.14381177999999997,1,109,0,109,0.5069541378653083,0.39968458505740057,0.13381343158599898,0.19374643061107938,0.4083637437659522,0.7756657176352371
2026000236,cpu_intensive/batch/io_intensive,52.64999999999999,52.64999999999999,0.0,0.21678522670115688,0.21678522670115688,0.0,0.1358336,0,141,0,141,0.47018267277758885,0.4274315670001715,0.16368834882058614,0.21678522670115688,0.34404923328863074,0.7692280200142959
2026000237,batch/interactive/cpu_intensive,50.099999999999994,50.099999999999994,0.0,0.20523624656755987,0.20523624656755987,0.0,0.13670182,1,118,0,118,0.5095369716548775,0.40261829588343323,0.17652120226189622,0.20523624656755987,0.34385849383948164,0.7728513561113068
