seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
2026000234,interactive/mixed/batch,53.699999999999996,363.2499999999999,309.5499999999999,0.21356371490280784,0.12002629083739996,-0.09353742406540788,0.24705048000000004,2,26,2,3,0.803874041520549,0.36553796640901065,0.1472498917280208,0.16565995068533693,0.21356371490280784,0.44251346311158707,0.7728814782734228
2026000235,io_intensive/cpu_intensive/mixed,44.9,181.04999999999998,136.14999999999998,0.21539141972578502,0.05561350967239491,-0.1597779100533901,0.21060807999999986,2,23,2,3,0.8236353996552755,0.4158132133099279,0.14051247697203148,0.16600213726509916,0.21539141972578502,0.43436463978097545,0.7756657176352371
2026000236,cpu_intensive/batch/io_intensive,52.64999999999999,115.84999999999998,63.19999999999999,0.22681591350152486,0.030200455702476287,-0.19661545779904857,0.18152832,2,31,2,3,0.7991529809398783,0.4374902475985362,0.18145103645461044,0.15005366917198767,0.22681591350152486,0.35951198934572465,0.7692280200142959
2026000237,batch/interactive/cpu_intensive,50.099999999999994,441.2499999999998,391.14999999999975,0.22757504156821562,0.11964337505706082,-0.1079316665111548,0.19146299999999988,2,25,2,3,0.7991514958452854,0.42248138119079437,0.177879535047552,0.20419140353309867,0.22757504156821562,0.37535382672026485,0.7728513561113068
2026000238,mixed/interactive/io_intensive,53.5,219.25,165.75,0.23104997192588433,0.08993414178977283,-0.1411158301361115,0.23854567999999998,2,22,2,1,0.8472977342691996,0.4540599455792509,0.13689067676289637,0.12721061437816597,0.23104997192588433,0.42633058154365544,0.7795787979176526
2026000239,mixed/cpu_intensive/io_intensive,52.9,289.1999999999999,236.29999999999987,0.22417617237008872,0.07979766035991455,-0.14437851201017415,0.2999757500000001,2,26,2,3,0.8246705735328577,0.39848240793791345,0.1460714897260274,0.165922704307516,0.22417617237008872,0.4514689107582196,0.7686986301369862
2026000240,interactive/batch/cpu_intensive,51.55,51.55,0.0,0.21339303286754574,0.05855146624680179,-0.15484156662074394,0.21909875999999984,2,25,2,6,0.7912727170936414,0.35040287296206835,0.15927218344965108,0.18209540178258113,0.21339303286754574,0.4535032473922456,0.7706463941508808
2026000241,batch/mixed/interactive,57.699999999999996,252.89999999999966,195.19999999999968,0.22372359531343539,0.0838329667046064,-0.139890628608829,0.18094825,2,24,2,3,0.8392643984559959,0.43356561306473207,0.13695449898230044,0.15230408067943346,0.22372359531343539,0.42301281224316445,0.7733461538461539
2026000242,mixed/cpu_intensive/batch,50.099999999999994,50.099999999999994,0.0,0.22095897182402374,0.04749546877574558,-0.17346350304827818,0.24214875000000002,2,28,2,6,0.7929538266919671,0.3732944950827172,0.1414125700062228,0.1498217443310599,0.22095897182402374,0.4521130337331921,0.7665525824517735
2026000243,interactive/batch/mixed,55.699999999999996,306.4999999999999,250.7999999999999,0.2078495345936091,0.08863446742404234,-0.11921506716956677,0.17317174999999999,2,22,1,4,0.786609639650115,0.3684916071207928,0.13005930318754633,0.15448304298591917,0.2078495345936091,0.48198827905606434,0.771830985915493
2026000244,interactive/cpu_intensive/batch,49.64999999999999,49.64999999999999,0.0,0.21415236909947552,0.05413814561294336,-0.16001422348653216,0.23978173000000003,2,26,1,6,0.7854727498940023,0.40693378250320716,0.16847914963205232,0.18888095222346282,0.21415236909947552,0.41740436183279095,0.7691332788225675
2026000245,cpu_intensive/mixed/io_intensive,53.9,140.25,86.35,0.2368847478225643,0.05566032192869096,-0.18122442589387333,0.17614629999999998,2,29,0,5,0.7788154626810355,0.4738391135285246,0.1649503096644102,0.17327205355047656,0.2368847478225643,0.3676187240470786,0.7709563589226559
2026000246,mixed/interactive/batch,54.749999999999986,347.9999999999999,293.2499999999999,0.2204953661937177,0.1195194448182777,-0.10097592137544001,0.17701807999999994,2,23,2,3,0.838954546151997,0.30804067602930196,0.14891509415940435,0.16002871719009965,0.2204953661937177,0.40539746359507056,0.7717100371747212
2026000247,interactive/cpu_intensive/batch,49.749999999999986,49.749999999999986,0.0,0.21743027888446215,0.050697211155378466,-0.1667330677290837,0.21793725,2,24,1,6,0.7966369501916087,0.3683165661281673,0.16269026851376772,0.18328840444617972,0.21743027888446215,0.4264442231075697,0.7701385325808107
2026000248,cpu_intensive/batch/interactive,52.099999999999994,68.39999999999992,16.299999999999926,0.24052227077583566,0.04661458333333332,-0.19390768744250234,0.17421124999999998,2,20,1,2,0.8012157355610866,0.4547049888837779,0.14231830726770928,0.15015759161300213,0.24052227077583566,0.41111662786676967,0.7710671573137075
2026000249,io_intensive/batch/interactive,53.349999999999994,80.54999999999993,27.199999999999932,0.21994805194805198,0.05323886938123901,-0.16670918256681297,0.20754651999999993,2,18,2,2,0.8375298141167605,0.36696081588528184,0.14663008992022436,0.15117713073097347,0.21994805194805198,0.4006280312607747,0.7802796740805991
2026000250,io_intensive/batch/cpu_intensive,45.099999999999994,45.099999999999994,0.0,0.21489381179055286,0.05043939948736724,-0.16445441230318564,0.1751575,2,22,2,5,0.8130486229483592,0.3177422044704028,0.17538691523039043,0.2079095751559553,0.21489381179055286,0.41249557825482247,0.7730390432641576
2026000251,batch/io_intensive/mixed,54.05,396.8499999999999,342.7999999999999,0.22548857920343035,0.13498509460732303,-0.09050348459610733,0.22092725,2,24,2,3,0.857693447484558,0.39087095328094107,0.1892292215133951,0.18512987977249817,0.22548857920343035,0.3638436117014323,0.7794144556267155
2026000252,cpu_intensive/mixed/interactive,50.9,95.8,44.9,0.23101937427260902,0.037713005692860735,-0.19330636857974828,0.17689000000000005,2,30,1,5,0.7854672374007011,0.514420128696166,0.14485864398298723,0.1692479224551569,0.23101937427260902,0.4088136878959836,0.7681386039529647
2026000253,io_intensive/mixed/interactive,52.0,110.5,58.5,0.22057356608478806,0.04781979700716097,-0.1727537690776271,0.19720583999999997,2,22,2,2,0.8258777223722834,0.44791535531755067,0.12996926701056366,0.15340772049150486,0.22057356608478806,0.4279642380748593,0.7794235709698137
2026000254,batch/mixed/io_intensive,55.39999999999999,259.84999999999945,204.44999999999948,0.23160266037331043,0.08690578540194781,-0.14469687497136263,0.20710634,2,26,2,3,0.8091646853507075,0.40178121452217486,0.15960692493259543,0.17304814671805516,0.23160266037331043,0.3914130066622125,0.7733787427274017
2026000255,batch/cpu_intensive/interactive,51.099999999999994,106.29999999999998,55.19999999999999,0.24349520699462762,0.05334068351242016,-0.19015452348220746,0.17822925,2,24,2,3,0.798830060686427,0.4578443701505758,0.14227727797580117,0.13056801621473407,0.24349520699462762,0.42043055925704603,0.7693679495686795
2026000256,cpu_intensive/io_intensive/interactive,47.9,130.99999999999997,83.09999999999997,0.23058960887332167,0.0490343532843431,-0.18155525558897856,0.23603174999999998,2,24,2,3,0.8432437666258571,0.4253399739727276,0.11335548172757474,0.10814033362995909,0.23058960887332167,0.47301139822562965,0.7683056478405316
2026000257,mixed/batch/io_intensive,58.39999999999999,154.45,96.05,0.2330572289156626,0.06802705204999705,-0.16503017686566557,0.21048611000000006,2,28,2,4,0.8034727841227788,0.39990457519031736,0.16905359028511088,0.17337815069435847,0.2330572289156626,0.39271599038267113,0.7705583421330517
2026000258,io_intensive/batch/mixed,54.699999999999996,326.4499999999997,271.7499999999997,0.2134472150259067,0.07694809821008007,-0.1364991168158266,0.17668675,2,22,2,3,0.8162514743279247,0.32439666745171925,0.14312727272727274,0.16056237046632127,0.2134472150259067,0.4197033948801407,0.7702545454545455
2026000259,batch/mixed/interactive,56.349999999999994,266.5999999999997,210.2499999999997,0.2300850125944584,0.07743668188527239,-0.15264833070918601,0.23416290999999995,2,22,1,3,0.8513573049932424,0.3566608136353299,0.1449468085106383,0.15269909510373228,0.2300850125944584,0.3863062981191287,0.7724626221966647
2026000260,cpu_intensive/io_intensive/batch,49.099999999999994,252.14999999999992,203.04999999999993,0.23021139444497107,0.09970792855715413,-0.13050346588781694,0.2312110000000001,2,21,1,4,0.795217577643914,0.34822437432399334,0.16303919637581246,0.1916862626668837,0.23021139444497107,0.3995581302232756,0.7752609808942288
2026000261,batch/interactive/io_intensive,50.699999999999996,155.0499999999999,104.34999999999991,0.22094230950807286,0.07476258511057136,-0.1461797243975015,0.2653880399999998,2,18,2,1,0.8527679093548558,0.37137651110974235,0.14728878960194963,0.1288353725374632,0.22094230950807286,0.3793127808819498,0.784727863525589
2026000262,batch/io_intensive/cpu_intensive,51.55,403.5499999999999,351.9999999999999,0.2288419198590929,0.10890588299760273,-0.11993603686149018,0.20497191999999984,1,24,2,3,0.8133887002586709,0.32714039183005456,0.15654437283093706,0.17013221173525694,0.2288419198590929,0.3838328879385813,0.7707403734919849
2026000263,interactive/io_intensive/cpu_intensive,46.45,326.29999999999995,279.84999999999997,0.19361967361740706,0.1139726518463049,-0.07964702177110217,0.1792748,2,19,2,3,0.8619692307842187,0.38860617244387186,0.121190261496844,0.1311896728898234,0.19361967361740706,0.5039097914777879,0.7765103697024347
2026000264,cpu_intensive/interactive/batch,46.099999999999994,270.7999999999998,224.6999999999998,0.22870507139340224,0.07185296180743966,-0.15685210958596257,0.182948,2,24,2,3,0.8151247250803421,0.49682619386554894,0.14022628791526243,0.14670786487821058,0.22870507139340224,0.4483677737984722,0.7698202535708554
2026000265,batch/mixed/interactive,55.699999999999996,185.35,129.65,0.22879953266478437,0.08057857063167162,-0.14822096203311275,0.17241747999999998,1,19,2,3,0.8001889472905548,0.4007831898932022,0.14641517298874532,0.14124299024570852,0.22879953266478437,0.36939546104856696,0.7801688203418091
2026000266,io_intensive/interactive/mixed,52.25,266.0,213.75,0.19357437808439926,0.10612520474315004,-0.08744917334124921,0.22454818000000001,2,17,2,1,0.8528487399843316,0.2982255186107716,0.13378947368421054,0.14231070992007652,0.19357437808439926,0.40346179843802765,0.7818947368421052
2026000267,io_intensive/interactive/batch,45.699999999999996,306.44999999999993,260.74999999999994,0.2020870854963449,0.13316065416826783,-0.06892643132807708,0.16776903999999995,2,18,1,2,0.8141134344621733,0.28123926460843873,0.1663147198378414,0.18074214284266482,0.2020870854963449,0.42552725300785055,0.7883382642998027
2026000268,io_intensive/mixed/batch,51.05,371.69999999999993,320.6499999999999,0.21407660404976828,0.1483509329085137,-0.06572567114125458,0.34384267999999996,2,22,2,2,0.8161379500770601,0.3856355305397755,0.20094864353867128,0.21743588496226338,0.21407660404976828,0.3381922420102464,0.7795138888888888
2026000269,mixed/io_intensive/cpu_intensive,51.9,397.29999999999995,345.4,0.22928973760131885,0.09521435522616015,-0.1340753823751587,0.20876375000000005,2,28,2,3,0.7876752602879062,0.4295984680278399,0.14914555097230406,0.15700351774299112,0.22928973760131885,0.4352288045030829,0.766617560400707
2026000270,io_intensive/batch/interactive,49.0,126.44999999999999,77.44999999999999,0.20841573280597672,0.06254886854152895,-0.14586686426444778,0.15879743999999998,2,18,1,4,0.7857258858943591,0.44329418367323825,0.1647253331001283,0.17059027838234792,0.20841573280597672,0.43583861527962464,0.7874355670103093
2026000271,io_intensive/cpu_intensive/interactive,48.45,75.89999999999998,27.449999999999974,0.2198652082642802,0.04331691664934331,-0.17654829161493688,0.17560840000000003,2,19,1,3,0.8475597974282264,0.5195752788877389,0.1255178127589064,0.14496564940802634,0.2198652082642802,0.46653957676525537,0.7738711681855841
2026000272,io_intensive/cpu_intensive/batch,44.099999999999994,44.099999999999994,0.0,0.22348718740351964,0.044766903365236185,-0.17872028403828344,0.2172167199999999,2,27,2,5,0.7989739901541205,0.382124639226907,0.19481338264963013,0.2193582540242626,0.22348718740351964,0.3830952438247854,0.7688718897108271
2026000273,interactive/cpu_intensive/mixed,49.45,216.19999999999987,166.7499999999999,0.20984369803791153,0.079042635673063,-0.13080106236484854,0.22229906999999996,2,22,2,3,0.8241649843686476,0.4895828365600806,0.13739649528211054,0.15190169276374255,0.20984369803791153,0.43025244818892655,0.7750336992104756
2026000274,interactive/cpu_intensive/batch,47.55,291.44999999999993,243.89999999999992,0.21343896044682556,0.09428407162455953,-0.11915488882226603,0.21812356999999996,2,22,1,4,0.784139446064206,0.35829130515302,0.14612886503635572,0.17276727005230152,0.21343896044682556,0.46752699245558366,0.7737912509593247
2026000275,cpu_intensive/batch/io_intensive,53.099999999999994,87.0,33.900000000000006,0.23509730020767633,0.033108538909131,-0.20198876129854532,0.5138100900000001,2,26,2,1,0.8121242646867386,0.4310482110956966,0.1626507511491545,0.14706118692277192,0.23509730020767633,0.41833365041130866,0.7661121207884803
2026000276,cpu_intensive/io_intensive/batch,51.64999999999999,346.29999999999984,294.64999999999986,0.23001920520017727,0.1090473507959197,-0.12097185440425756,0.18170776,2,27,2,2,0.8024598816994156,0.3692808504334154,0.16675214283097534,0.17468767095097415,0.23001920520017727,0.37265832824632455,0.7688618468146027
2026000277,cpu_intensive/interactive/batch,50.099999999999994,284.15,234.04999999999998,0.23073670859317197,0.12111340357508561,-0.10962330501808636,0.23657235999999993,2,20,1,3,0.7872325176404873,0.3721969402381386,0.15800459278165827,0.1928763883141025,0.23073670859317197,0.38024203353837455,0.7758673158855751
2026000278,cpu_intensive/io_intensive/mixed,51.45,373.79999999999995,322.34999999999997,0.22621571953633024,0.06764082844549225,-0.158574891090838,0.2544244399999999,2,31,1,4,0.7842193211327744,0.445048662891158,0.1547945205479452,0.13536770960987016,0.22621571953633024,0.4220017656899195,0.7669364881693649
