profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_srtf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_srtf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
batch,20261000062,Round Robin,Round Robin,1,0.0,0.06679099897155538,0.26221348096348096,0.24991342507436926,0.2744755244755245,0.14141414141414138,0.2661574536574537,0.7527472527472527,191,196,204,191,192,408,0,0,0,0,0,216
batch,20261000063,Round Robin,Round Robin,1,0.0,0.08800000068731606,0.20845299422275362,0.22578427459381653,0.19898930781064336,0.14353975535168195,0.2706422018348624,0.7542630937880633,200,204,204,201,204,431,0,0,0,0,0,227
batch,20261000064,Round Robin,Round Robin,1,0.0,0.16058400069596246,0.24710283242469702,0.21798971160791358,0.16838034506641492,0.1420311714429362,0.3091081977523768,0.7560646900269542,164,167,168,167,171,357,0,0,0,0,0,188
batch,20261000065,Round Robin,Round Robin,1,0.0,0.10887499956879765,0.24302051160759142,0.21368948247078465,0.24972506745989956,0.14348500517063079,0.2748190279214064,0.758347245409015,144,144,149,147,158,336,0,0,0,0,0,178
batch,20261000066,Round Robin,Round Robin,1,0.0,0.08208300278056413,0.23005287172852495,0.1893723252496434,0.20351079194001187,0.14503619441571872,0.29446742502585316,0.7578459343794579,140,140,160,140,147,299,0,0,0,0,0,159
batch,20261000067,Round Robin,Round Robin,1,0.0,0.10366600326960906,0.24559875111104965,0.1890809395038361,0.22541950540911015,0.14462171899125062,0.2998204672467729,0.7553041018387553,155,152,165,151,157,324,0,0,0,0,0,169
batch,20261000068,Round Robin,Round Robin,1,0.0,0.163875003636349,0.2357277516698703,0.22677369480106205,0.17879746835443036,0.1287455561198578,0.2822498730319959,0.7685917721518987,169,163,163,164,167,358,0,0,0,0,0,195
batch,20261000069,Round Robin,Round Robin,1,0.0,0.07249999907799065,0.2556402473464479,0.19050582043504188,0.2224787242180647,0.14484515876127008,0.31585652685221477,0.7606167846309404,198,193,206,188,209,403,0,0,0,0,0,215
batch,20261000070,Round Robin,Round Robin,1,0.0,0.06658300117123872,0.2508260149052505,0.21185360048411814,0.23391561831049815,0.14893196202531647,0.2954905063291139,0.7668639053254438,203,201,201,194,206,425,0,0,0,0,0,221
batch,20261000071,Round Robin,Round Robin,1,0.0,0.06470899825217202,0.20027570438755254,0.1815980629539951,0.2051037153976982,0.13430561602089686,0.31595559425337394,0.7530266343825666,169,169,173,170,199,376,0,0,0,0,0,196
batch,20261000072,Round Robin,Round Robin,1,0.0,0.11995800014119595,0.21643382035538902,0.21385819920134605,0.18280352545058426,0.1458247634718223,0.2790004113533525,0.7583333333333333,184,183,179,179,188,386,0,0,0,0,0,207
batch,20261000073,Round Robin,Round Robin,1,0.0,0.07791600364726037,0.263845503994072,0.16946778711484595,0.13590384842648576,0.12770809578107187,0.30587229190421894,0.7727591036414565,165,160,153,154,165,335,0,0,0,0,0,175
batch,20261000074,Round Robin,Round Robin,1,0.0,0.06662499799858779,0.20685485167259024,0.21285563751317174,0.19326825540615836,0.1411864406779661,0.3015254237288136,0.7636986301369864,219,219,221,219,230,475,0,0,0,0,0,251
batch,20261000075,Round Robin,Round Robin,1,0.0,0.06429199856938794,0.21543754228369538,0.20630504832605825,0.22111718221453808,0.14621513944223108,0.29880478087649404,0.7529481132075472,184,179,192,176,201,390,0,0,0,0,0,207
batch,20261000076,Round Robin,Round Robin,1,0.0,0.09170799603452906,0.23907404227042162,0.1897400287882457,0.19630327439181125,0.14183736809435132,0.3040037243947859,0.7563291139240507,111,113,113,112,120,247,0,0,0,0,0,136
batch,20261000077,Round Robin,Round Robin,1,0.0,0.06400000711437315,0.2507899682125419,0.21498734392735527,0.21118592677984535,0.1374278927723108,0.3003902273498473,0.7517026106696936,227,216,213,213,239,464,0,0,0,0,0,250
batch,20261000078,Round Robin,Round Robin,1,0.0,0.0625829998170957,0.23377187387042586,0.15775354293259364,0.16544406880568135,0.14056420233463035,0.34168287937743186,0.7620218579234972,169,172,170,170,199,355,0,0,0,0,0,186
batch,20261000079,Round Robin,Round Robin,1,0.0,0.06083300104364753,0.20143265430482898,0.13542713567839196,0.16739311416175667,0.13236549957301452,0.34297450987022615,0.7600502512562815,184,178,178,178,193,400,0,0,0,0,0,215
batch,20261000080,Round Robin,Round Robin,1,0.0,0.06262499664444476,0.26830013008519227,0.22272727272727272,0.27970822516823873,0.14339093881363849,0.27333543065146815,0.7549586776859505,158,158,160,159,171,354,0,0,0,0,0,196
batch,20261000081,Round Robin,Round Robin,1,0.0,0.12395800149533898,0.26956592778171123,0.22916075393579186,0.19995932274930558,0.1470286885245902,0.2863729508196721,0.7549833887043189,150,152,148,151,150,324,0,0,0,0,0,172
batch,20261000082,Round Robin,Round Robin,1,0.0,0.07845899381209165,0.24119531748036419,0.21767605924009864,0.2242139669709763,0.14018691588785048,0.298361330862377,0.7506756756756756,166,163,158,160,173,359,0,0,0,0,0,189
batch,20261000083,Round Robin,Round Robin,1,0.0,0.06820899579906836,0.25346420695729577,0.1956521739130435,0.16056988936754527,0.12365866121614713,0.2913898824731732,0.7556100981767181,174,174,174,176,211,390,0,0,0,0,0,212
batch,20261000084,Round Robin,Round Robin,1,0.0,0.06441699952119961,0.240740235931376,0.20682361203801966,0.20401989793305342,0.14821349801499775,0.3037187866295509,0.75187265917603,187,191,187,187,191,395,0,0,0,0,0,208
