process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
12.0,1.0909090909090908,7.833333333333333,15.972222222222221,1.0,2.9166666666666665,1.0763888888888888,2.3333333333333335,1.3404255319148937,interactive,420000015,Round Robin,0.17464858920163592,0.2484912881087744,0.18459294807371926,0.11740041928721176,0.3529802277305052,0.7868852459016393
12.0,0.8571428571428571,8.416666666666666,10.909722222222221,1.0,3.4166666666666665,2.076388888888889,2.3333333333333335,1.4752475247524752,interactive,420000016,SRTF,0.14504280684895784,0.23121345283339506,0.09762124147229798,0.10704845814977973,0.35833263053802694,0.7876344086021505
12.0,0.8571428571428571,9.083333333333334,12.409722222222221,1.0,3,1.8333333333333333,3.0833333333333335,1.5688073394495412,interactive,420000017,SRTF,0.12609833479718224,0.17007313284345388,0.10703588252010679,0.15760717187639628,0.31394904733590556,0.8138297872340425
12.0,1.3333333333333333,8.416666666666666,10.57638888888889,1.0,2.9166666666666665,1.4097222222222223,2.5,1.5742574257425743,interactive,420000018,SRTF,0.12500847334527673,0.18861511089043365,0.11238112761203838,0.12005519779208834,0.37189148434062635,0.8078947368421052
12.0,1.0,9.666666666666666,9.88888888888889,1.0,3.6666666666666665,1.7222222222222223,2.8333333333333335,1.5344827586206897,interactive,420000019,SRTF,0.12651336991551257,0.23107027812696418,0.10953992794937169,0.1233736894104616,0.27159821878922996,0.8207364341085271
12.0,0.8,10,15.5,1.0,3,2.3333333333333335,3.0833333333333335,1.55,interactive,420000020,Round Robin,0.14106544656830852,0.12363796833880465,0.11876530493120445,0.11679884643114637,0.33164610470455336,0.7888719512195121
12.0,0.9230769230769231,8.666666666666666,21.88888888888889,1.0,2.75,2.5208333333333335,2,1.0769230769230769,interactive,420000021,Round Robin,0.18636262546171847,0.24647404771076228,0.19836005337562126,0.12538294171374045,0.34103821986510635,0.7780898876404494
12.0,0.8571428571428571,8.833333333333334,8.305555555555555,1.0,3.75,2.1875,2.4166666666666665,1.5471698113207548,interactive,420000022,Round Robin,0.11695581649564513,0.2593634688435227,0.1387360790557087,0.10381184103811841,0.35662868252626256,0.8502415458937198
12.0,0.8571428571428571,7.833333333333333,19.13888888888889,1.0,2.6666666666666665,1.8888888888888888,2.1666666666666665,1.4680851063829787,interactive,420000023,Round Robin,0.190414206840966,0.13934738454594564,0.14165567361939885,0.11574074074074076,0.3819058556978069,0.7838709677419355
12.0,0.75,9.333333333333334,16.055555555555557,1.0,3.25,1.8541666666666667,2.6666666666666665,1.3214285714285714,interactive,420000024,SRTF,0.17091927438424492,0.21098961988844145,0.10982365155977955,0.1253275109170306,0.31968586343975863,0.8003952569169961
12.0,1.0909090909090908,8.916666666666666,13.57638888888889,1.0,2.75,1.1875,2.4166666666666665,1.3738317757009346,interactive,420000025,Round Robin,0.1492247725662053,0.22732135216089,0.1611407671827683,0.11694629501719359,0.35032259220760603,0.7763157894736842
12.0,1.0909090909090908,7.75,14.354166666666666,1.0,3.75,2.3541666666666665,2.1666666666666665,1.2580645161290323,interactive,420000026,Round Robin,0.16876843459686208,0.2087919980565501,0.14653862650024352,0.1397015493469905,0.3551761476338286,0.8460264900662251
